TEAM,CONF,G,W,TORD,ORB,FTR,2P_O,3P_O,YEAR
UNC Asheville,BSth,29,13,20.7,33,38.1,48.5,32.6,2013
Appalachian St.,SC,29,13,18.8,30.3,37.9,47.2,36.5,2013
George Washington,A10,30,13,21.3,38.2,40.4,47.7,27.9,2013
Southern Illinois,MVC,30,13,24.2,31.7,34.1,48.1,31.8,2013
Central Connecticut,NEC,30,13,18.9,27.4,30.1,46.6,35.2,2013
Utah,P12,31,13,16.9,27.5,31.1,46.6,35.5,2013
Clemson,ACC,31,13,20.4,32,33.1,47.1,31.7,2013
Wake Forest,ACC,31,13,20.5,27.7,43.7,47.1,34.5,2013
Drexel,CAA,31,13,18.8,33.3,33.5,44.9,33.5,2013
Eastern Michigan,MAC,31,13,22.8,33.9,30.5,41.5,33,2013
Florida Atlantic,SB,31,13,17.1,32.9,35.5,45.1,35.3,2013
Morehead St.,OVC,31,13,23.2,39.5,39,48.5,31.2,2013
Delaware St.,MEAC,31,13,20.9,32.6,33.3,46.5,29.6,2013
Washington St.,P12,32,13,19.4,31.6,34.1,47.9,34.7,2013
Northwestern,B10,32,13,19,25.9,33.9,44.7,34.1,2013
West Virginia,B12,32,13,21.8,37.1,40.8,44.9,31.6,2013
Virginia Tech,ACC,32,13,15.5,30.7,36.8,47.7,31.4,2013
St. Bonaventure,A10,29,14,21.5,32.3,39.9,49,37.5,2013
Loyola Chicago,Horz,30,14,18.4,30.5,35.3,48.3,36.5,2013
Georgia St.,CAA,30,14,20.9,29.4,34.9,48,35.7,2013
Stetson,ASun,30,14,17.4,31.3,34.8,52.8,34.8,2013
Drake,MVC,31,14,18.8,24.5,37.5,48.9,37.9,2013
SMU,CUSA,31,14,21.4,34.8,40.7,46.9,34.6,2013
Oakland,Sum,31,14,20.5,31,40.7,47.7,34.7,2013
USC Upstate,ASun,31,14,20.1,35.4,34.3,48.6,34.3,2013
UC Davis,BW,31,14,15.7,26.4,32.9,51.5,40.5,2013
IPFW,Sum,31,14,19.7,31.4,38.4,47.5,35.4,2013
Sam Houston St.,Slnd,31,14,21.4,33.9,37.7,40.5,32.2,2013
North Dakota,BSky,31,14,19.8,29.4,36.5,45.7,33.2,2013
Hampton,MEAC,31,14,22.3,34.1,38.6,44.6,26.3,2013
Oregon St.,P12,32,14,17.6,34.4,37,47.8,36.4,2013
USC,P12,32,14,17.6,29.2,30,45.7,34.2,2013
Manhattan,MAAC,32,14,23.1,31.8,45.8,44.7,33.7,2013
San Diego,WCC,32,14,20.4,30.3,37.8,46.5,34.8,2013
South Carolina,SEC,32,14,21,38.3,35.2,45.8,32.1,2013
Jacksonville St.,OVC,26,15,24.7,31.7,43.9,47.8,35.2,2013
Toledo,MAC,28,15,21.3,28.8,37.5,47.4,33.5,2013
Hawaii,BW,28,15,17.4,35.3,36,50.1,33.7,2013
High Point,BSth,29,15,19.7,34.1,32.7,48.2,31.6,2013
Army,Pat,30,15,18.6,31.7,36.9,49.2,37.1,2013
Ball St.,MAC,30,15,19.7,35.9,46.6,47.9,32.7,2013
Rutgers,BE,31,15,19.6,35.8,32.4,47,35.7,2013
Youngstown St.,Horz,31,15,18.1,26.6,36,46.5,35.9,2013
Quinnipiac,NEC,31,15,15.7,41.3,41.1,45.4,33.5,2013
Southeast Missouri St.,OVC,31,15,15.1,28.2,33.4,50,39.3,2013
Georgia,SEC,32,15,18.5,32.1,45,43.5,35.7,2013
UAB,CUSA,32,15,22.4,33.5,29.4,47.9,32.8,2013
Seton Hall,BE,33,15,19.4,31,34.5,48.6,36.7,2013
Nebraska,B10,33,15,18,26.1,28.4,45.1,30.7,2013
Princeton,Ivy,26,16,20.8,30.6,34.6,49.9,41,2013
Charleston Southern,BSth,29,16,19.5,33.6,29.7,45.6,35.2,2013
South Alabama,SB,29,16,21,36,45.4,44.6,32.4,2013
Air Force,MWC,30,16,19.1,23.7,30.8,52.9,38.1,2013
Cal Poly,BW,30,16,19.6,31.2,33.3,44.8,37.1,2013
Arkansas Pine Bluff,SWAC,30,16,23.5,31.5,33,44.4,30.2,2013
Georgia Tech,ACC,31,16,19,32.6,28,46.4,31.8,2013
Tennessee St.,OVC,31,16,19.9,34.7,40,48.3,33.4,2013
Arkansas Little Rock,SB,31,16,23.2,31.8,42.7,44.7,33.8,2013
Tulsa,CUSA,32,16,18.9,30.1,43.6,48.2,32.9,2013
Vanderbilt,SEC,33,16,18.5,27.9,35.1,45.3,35,2013
Texas,B12,33,16,19.1,34.6,40.4,46,30.1,2013
Boston College,ACC,33,16,17.9,28.1,39.7,49.7,35.3,2013
Purdue,B10,34,16,17,37,33.5,45.7,32,2013
UCF,CUSA,28,17,18.7,34.3,41,51.4,34.5,2013
Boston University,AE,30,17,21.5,25.9,26.5,49.9,37,2013
Towson,CAA,30,17,16.2,39.2,40.3,48.7,31.4,2013
Dayton,A10,31,17,21,35.2,39.7,51.1,38.4,2013
Xavier,A10,31,17,18.6,34.3,41.4,49.2,35,2013
Texas Southern,SWAC,31,17,17.5,31.4,31.2,50.7,35.6,2013
Long Beach St.,BW,31,17,19.5,32.1,36.3,49.7,34,2013
Hartford,AE,31,17,24.9,25.8,30.7,46.9,33.4,2013
Indiana St.,MVC,32,17,18.2,26.6,42.1,48.4,32,2013
Morgan St.,MEAC,32,17,21.8,38,39.2,49.8,29.2,2013
Savannah St.,MEAC,32,17,26,34.4,35.3,45.3,29,2013
St. John's,BE,33,17,20.2,30.5,28.9,45.6,27.1,2013
Green Bay,Horz,33,17,18,32.8,40.2,47.3,33,2013
Illinois Chicago,Horz,33,17,19.5,28.2,35.4,43.5,33.5,2013
Arkansas St.,SB,30,18,23.1,33.5,44.2,45.6,30.7,2013
Detroit,Horz,31,18,22.9,31.8,35.8,51.1,33.5,2013
Gardner Webb,BSth,31,18,23.3,35.7,34.5,45.9,32.5,2013
Saint Joseph's,A10,32,18,16.2,31.7,36.2,50,34.2,2013
UTEP,CUSA,32,18,19.7,28,42.6,49.6,35.1,2013
Wyoming,MWC,32,18,21.4,23.7,39.8,50.8,31.8,2013
FIU,SB,32,18,25.6,31.3,35.8,48.3,33.3,2013
Mount St. Mary's,NEC,32,18,23.9,28.6,31.9,50.3,33.8,2013
Illinois St.,MVC,33,18,21,29.5,34.4,51.7,34.7,2013
Texas A&M,SEC,33,18,21.9,34.9,32.9,47.1,35.6,2013
Lafayette,Pat,33,18,20.6,25.1,28.2,49.6,38.4,2013
Washington,P12,34,18,18.4,37.3,33.8,47,34.3,2013
Florida St.,ACC,34,18,20.6,30.9,40.4,48.9,34.8,2013
Bradley,MVC,35,18,21.7,30.3,29.9,48.5,31.9,2013
Stanford,P12,34,19,19.2,32.1,33.4,44.3,35.9,2013
North Carolina Central,MEAC,28,19,22.9,30.6,45.5,48.8,33.6,2013
Murray St.,OVC,29,19,20.2,32.5,39,52.2,35.1,2013
East Carolina,CUSA,30,19,18.8,28.3,39.9,50.9,34.9,2013
LSU,SEC,31,19,21.6,34.4,33.4,46.9,35.6,2013
Bryant,NEC,31,19,17.6,30.5,37,54.9,35.6,2013
Wagner,NEC,31,19,22,35,40.3,47.5,31.7,2013
Elon,SC,31,19,19.1,26.4,29.2,48,34,2013
Arkansas,SEC,32,19,24.6,31.7,35.1,50,30,2013
Houston,CUSA,32,19,17.9,33.4,39.4,50.3,35.9,2013
Niagara,MAAC,33,19,22.5,32.5,38,47.9,32.7,2013
UT Arlington,WAC,33,19,22.8,36.2,36.4,44.3,34.2,2013
Delaware,CAA,33,19,15.9,33.1,42,46.2,30.9,2013
Providence,BE,34,19,19.8,37.4,37.4,45.7,31,2013
Richmond,A10,34,19,22.8,27,43.2,49.4,37.8,2013
Oral Roberts,Slnd,34,19,18.7,35.9,38,49.3,34.5,2013
Tulane,CUSA,34,19,20.6,35.5,46.7,45.2,35,2013
Rider,MAAC,34,19,20.9,30.6,39.4,47.7,34.5,2013
UC Irvine,BW,35,19,16.3,30.4,30.2,47.4,32.8,2013
Fairfield,MAAC,35,19,21.6,33.5,28.9,47.8,31.6,2013
Connecticut,BE,30,20,20.1,28.5,36.9,49.5,34,2013
Western Illinois,Sum,29,20,19.4,24.7,39.8,48.9,38.7,2013
Lehigh,Pat,30,20,20.4,26.9,36.4,49.8,39.4,2013
Utah St.,WAC,30,20,15,37.4,40.5,51.6,35.3,2013
Tennessee,SEC,33,20,17.4,36.5,42.2,48.2,31.6,2013
Northeastern,CAA,33,20,22.3,31.4,38.8,48.3,37.1,2013
Northern Iowa,MVC,34,20,19.7,24.6,33.2,48.6,36.4,2013
Canisius,MAAC,34,20,19.8,34.8,34.3,48.9,38.6,2013
Kent St.,MAC,34,20,20.8,34.5,43.8,46.3,35.8,2013
Evansville,MVC,35,20,21.5,29.3,31.1,46,36.7,2013
Kentucky,SEC,33,21,17.6,34.7,41.7,52.9,34.6,2013
Massachusetts,A10,33,21,18.9,32.4,35.8,48.9,33.6,2013
Charlotte,A10,33,21,20.2,36.5,44.8,49.2,26.8,2013
Vermont,AE,33,21,20.6,34.3,44.8,48.7,32.2,2013
Norfolk St.,MEAC,33,21,22,33.7,40,45.2,32.5,2013
Western Michigan,MAC,34,21,19.1,35.6,45.8,48.2,32,2013
Denver,WAC,32,22,26.2,22.7,31.2,56.1,37.5,2013
Baylor,B12,36,22,18.7,33.5,36.3,51.1,34.9,2013
North Dakota St.,Sum,32,22,18.1,30,28.4,52.3,35.8,2013
Mercer,ASun,34,22,21.8,29.6,35.6,48.4,35.4,2013
Alabama,SEC,35,22,22.6,32,33.9,47.1,33,2013
Arizona St.,P12,35,22,18.1,28.3,35.9,52.5,34.6,2013
Wright St.,Horz,35,22,24.3,26.4,33,48.4,34.6,2013
George Mason,CAA,38,22,21.8,34.7,35.3,47.1,34.6,2013
Virginia,ACC,35,23,20.9,28.3,31.6,48.9,38.5,2013
Stephen F. Austin,Slnd,28,23,22.6,34.1,40.4,50.9,32.8,2013
Eastern Kentucky,OVC,33,23,25.5,27.9,34.8,55.4,35,2013
BYU,WCC,35,23,19.3,32.8,36,50.2,33.5,2013
Loyola MD,MAAC,35,23,20.9,37.1,41,47.6,29.9,2013
Iowa,B10,37,24,19.7,36.6,40.8,47.1,29.9,2013
Stony Brook,AE,32,24,20.5,31.9,37.7,48.1,35.4,2013
Ohio,MAC,34,24,25.5,27.4,31.3,54.3,35.1,2013
College of Charleston,SC,34,24,15.5,33.3,38.5,49.4,34.5,2013
Robert Morris,NEC,35,24,24.6,31,37,46.7,38.1,2013
Santa Clara,WCC,36,24,21.1,32.8,37,48.9,35.8,2013
Maryland,ACC,38,25,15.7,36.9,34.5,51.9,33.9,2013
Southern Miss,CUSA,35,25,24.3,38,36.5,51.8,37.4,2013
Louisiana Tech,WAC,33,26,24.6,33.8,35.5,45.7,31.9,2013
Weber St.,BSky,35,28,16.6,29.6,39.6,53.7,40.6,2013
Maryland Eastern Shore,MEAC,28,2,21.4,34.9,35.3,39.3,27.2,2013
Binghamton,AE,29,2,16.8,26.5,33.6,41.3,28.6,2013
Kennesaw St.,ASun,30,3,21.3,30.7,37.4,44.4,30.3,2013
Lamar,Slnd,31,3,16,32.4,31.5,42,30.3,2013
New Orleans,ind,22,4,21.2,27.4,38.8,46.1,27.1,2013
Louisiana Monroe,SB,27,4,21.9,27.3,31.5,46.6,34.8,2013
UC Riverside,BW,28,4,18.1,30.7,32.5,46.3,28.7,2013
South Carolina St.,MEAC,28,4,18.6,35.6,27.3,42.5,27.5,2013
Rice,CUSA,29,4,21,19.2,28.2,44.5,33.4,2013
Northern Illinois,MAC,29,4,22.4,33.2,35.8,38.8,27.8,2013
IUPUI,Sum,30,4,16.9,22.1,24.2,48.6,36.1,2013
Texas A&M Corpus Chris,Slnd,28,5,19.1,29.8,32.2,45.2,30.5,2013
Mississippi Valley St.,SWAC,28,5,22.2,31.6,39.5,40.5,30.3,2013
Idaho St.,BSky,29,5,20.8,24.5,37.5,45.7,31.4,2013
St. Francis PA,NEC,29,5,19.1,27.6,31.6,45.7,34.8,2013
Presbyterian,BSth,29,5,16.4,22.7,26.4,47.4,34.5,2013
Furman,SC,29,5,17.2,28.4,35.3,44,32.6,2013
Old Dominion,CAA,30,5,20.4,38.8,34.6,46.6,27.3,2013
Portland St.,BSky,26,6,17.2,31.1,31.9,47.6,37.2,2013
The Citadel,SC,28,6,18,30.9,37.8,48.9,35.9,2013
Austin Peay,OVC,29,6,18.1,28.9,37.4,48.8,38.1,2013
Florida A&M,MEAC,29,6,22.7,31.6,32.7,41.9,30.3,2013
Howard,MEAC,29,6,22.9,35.1,34.1,39.9,24.9,2013
Fordham,A10,30,6,16.3,36.1,32.6,44.2,31.3,2013
Milwaukee,Horz,30,6,17.6,29,36.1,43.5,30.8,2013
Hofstra,CAA,31,6,20.6,34.3,39.3,41.6,28.7,2013
Longwood,BSth,31,6,18.4,28.8,30.5,48.3,32.1,2013
SIU Edwardsville,OVC,25,7,21.1,28.5,32.8,44.6,36.4,2013
Tennessee Martin,OVC,28,7,19.3,32.3,37.7,40.9,32.7,2013
Seattle,WAC,29,7,19.8,36.7,28.8,46.5,32.2,2013
UNC Greensboro,SC,29,7,19.2,29.2,33.7,45,33.8,2013
Chicago St.,GWC,29,7,23.5,30.1,24.6,41.9,32.6,2013
UMBC,AE,30,7,20.2,28.7,30.1,44.2,33.9,2013
Navy,Pat,30,7,21.6,25.8,27.9,42.2,32.1,2013
Coppin St.,MEAC,31,7,23.3,29,31.2,39.6,31.2,2013
UMKC,Sum,31,7,19.3,29.1,30.3,45.9,33.5,2013
Fairleigh Dickinson,NEC,31,7,17.5,26.2,35.2,47.2,35,2013
Dartmouth,Ivy,27,8,21,28.4,33.4,43.5,33.3,2013
New Hampshire,AE,28,8,18.8,28.1,34.7,42.9,30.5,2013
South Dakota,Sum,28,8,15.7,24.2,37.4,48.2,37.1,2013
San Jose St.,WAC,28,8,19,33.3,36.7,40.1,28.9,2013
Rhode Island,A10,29,8,19.6,28.4,35.9,44.6,32.2,2013
Duquesne,A10,30,8,17.3,30.9,31.7,45.9,33.8,2013
Miami OH,MAC,30,8,23.1,27.5,36,48,32.4,2013
Siena,MAAC,32,8,17,33,38.1,43.8,33.7,2013
Fresno St.,MWC,28,9,20.2,29.2,37.3,39.9,33.7,2013
UC Santa Barbara,BW,29,9,18.1,31,30.1,46.9,34.2,2013
UNC Wilmington,CAA,29,9,17.5,31.5,36.7,45.1,33.5,2013
Sacred Heart,NEC,29,9,18.1,33.2,32.2,48.4,35.2,2013
Southern Utah,BSky,29,9,17.2,32,36.8,42.9,32.2,2013
Alabama A&M,SWAC,29,9,17.4,31.8,36.9,43.9,28.9,2013
Portland,WCC,30,9,17.9,33.7,36.1,43.2,31,2013
Saint Peter's,MAAC,30,9,22,30.3,30.3,44.1,33.6,2013
Nicholls St.,Slnd,30,9,20.9,30.1,40,50.1,30.5,2013
Missouri St.,MVC,31,9,19.5,25.8,34.4,45.8,28.8,2013
Penn,Ivy,31,9,21.4,26.8,34.4,46.1,34.3,2013
East Tennessee St.,ASun,31,9,21.1,27.1,31.6,44.2,32.3,2013
Alabama St.,SWAC,31,9,19.5,33.4,32.2,44.8,30.6,2013
Auburn,SEC,32,9,19.8,29.2,35.3,45.7,31.1,2013
Alcorn St.,SWAC,32,9,19.1,29.3,38.1,41.6,29.3,2013
Columbia,Ivy,26,10,20.1,29,33.7,44.5,35.4,2013
Cal St. Bakersfield,ind,26,10,21.9,30.1,35.4,44.7,33.7,2013
Tennessee Tech,OVC,27,10,21.5,35.3,38.2,47.3,30.8,2013
Pepperdine,WCC,28,10,17.9,32.4,34.3,46.8,35.3,2013
Utah Valley,GWC,28,10,17.3,25.7,30.5,50.3,32.1,2013
Maine,AE,29,10,17.2,30.4,33.3,48.8,29.2,2013
Radford,BSth,29,10,21.6,32.2,35.8,42.9,31.2,2013
Nebraska Omaha,Sum,29,10,17.6,24.5,28.9,50.2,36.5,2013
Central Michigan,MAC,30,10,19.8,30.9,39.4,47.1,33.2,2013
American,Pat,30,10,15.6,28.5,30.9,43.8,36.2,2013
Penn St.,B10,31,10,17.5,30.9,37.1,44.1,29.6,2013
Marist,MAAC,31,10,18.9,27,39.6,46.6,34.6,2013
TCU,B12,31,10,20.1,32,40.6,42.3,30.8,2013
Eastern Washington,BSky,31,10,15.8,29.4,32,47,34.1,2013
Samford,SC,31,10,20,26.8,31.3,48.7,36.4,2013
Monmouth,NEC,31,10,25.5,29.8,32.3,43.5,31,2013
Loyola Marymount,WCC,32,10,20.9,32.7,34,42.6,32.6,2013
Mississippi St.,SEC,32,10,22.3,30.5,40.8,45.5,28.4,2013
UTSA,WAC,32,10,20.4,31,36.4,44.7,33.4,2013
Coastal Carolina,BSth,26,11,22,37,35.8,46.8,31.6,2013
Northern Kentucky,ASun,27,11,21,25.2,28.4,46.8,33.1,2013
Houston Baptist,GWC,27,11,22.6,31.7,37.5,42.5,31.7,2013
Winthrop,BSth,28,11,18.2,29.3,36.1,46.4,31.3,2013
VMI,BSth,28,11,18.6,32,30.5,49.9,32.2,2013
Montana St.,BSky,28,11,21.1,29.2,37.3,46.5,33.3,2013
Central Arkansas,Slnd,28,11,19.4,33.4,29.6,46.4,34.2,2013
McNeese St.,Slnd,28,11,19,31.8,30.3,43.9,31.9,2013
Idaho,WAC,29,11,14.2,33.1,37.6,51.4,36.8,2013
Northern Colorado,BSky,29,11,19,31.4,33.2,49.2,37.1,2013
Cleveland St.,Horz,29,11,21.1,31.9,30.4,45.1,33.5,2013
Lipscomb,ASun,29,11,18.6,35.7,44.6,46.5,31.5,2013
Southeastern Louisiana,Slnd,29,11,18.4,26.4,36,42.1,35.5,2013
Jackson St.,SWAC,29,11,20.9,27.4,38.4,43.2,31.2,2013
Nevada,MWC,30,11,18.7,28.9,41.8,47.8,30.9,2013
Bowling Green,MAC,30,11,20,30.4,25.8,46.8,30.6,2013
North Texas,SB,30,11,18.5,33.6,41.5,44.9,28.6,2013
Campbell,BSth,30,11,20.2,32.7,30.8,48.7,31.2,2013
Chattanooga,SC,30,11,18.5,33.9,43,45.9,30.8,2013
Texas Tech,B12,31,11,21.3,32.1,38.1,47.9,28.8,2013
Eastern Illinois,OVC,31,11,21.3,30.2,34.2,48.7,35,2013
DePaul,BE,32,11,21.5,31.7,31.7,48.3,29.9,2013
Colgate,Pat,32,11,15.2,26.2,27.6,46.1,34.2,2013
Northern Arizona,BSky,32,11,20.2,27,31.4,48.5,32.7,2013
Texas St.,WAC,33,11,20.7,26.9,36.5,46.7,33.2,2013
NJIT,GWC,25,12,21.2,33.8,41.3,42.3,35.8,2013
Brown,Ivy,27,12,18.5,30.5,34.3,45.3,34,2013
Sacramento St.,BSky,27,12,19,30.1,37.2,44.1,33,2013
UT Rio Grande Valley,GWC,28,12,22,27,39.4,44.9,34.9,2013
Yale,Ivy,29,12,20.4,35,42.9,45,33.2,2013
William & Mary,CAA,29,12,16.1,28.5,37.6,52.2,37.2,2013
Cal St. Northridge,BW,29,12,22.2,35.9,38.5,45.7,33,2013
Cal St. Fullerton,BW,30,12,22.8,25,35.5,51.8,37.7,2013
St. Francis NY,NEC,30,12,19.8,34.3,31.6,48,32.8,2013
Cornell,Ivy,30,12,20.6,28.2,30.7,46.1,33.2,2013
Jacksonville,ASun,30,12,20.2,33,36.3,45.4,32,2013
South Florida,BE,31,12,19.6,30.3,29.2,43.2,31.3,2013
Marshall,CUSA,31,12,19.2,37.6,45,49.1,30.9,2013
Holy Cross,Pat,31,12,15.5,28.3,29.6,45.3,34.5,2013
North Florida,ASun,31,12,18.6,31,29.7,50.2,34.2,2013
Western Carolina,SC,31,12,20.4,34.6,30.9,46,34,2013
Wofford,SC,31,12,22.2,25.9,27.9,43.2,30.7,2013
Georgia Southern,SC,31,12,20.5,30.9,35.4,44.2,33.1,2013
Prairie View A&M,SWAC,31,12,21.1,38.6,32.6,42,26,2013
Buffalo,MAC,32,12,17.1,35.1,38.5,50,34.2,2013
Louisiana Lafayette,SB,32,12,20.8,29.1,35.1,46.9,34.5,2013
Bethune Cookman,MEAC,32,12,22.4,31.3,39,45.6,31,2013
Troy,SB,33,12,19.1,30.7,24.5,44.5,31.2,2013
Dayton,A10,36,27,21.1,23.3,48.1,52.6,35.6,2015
Saint Joseph's,A10,36,28,16.1,28.3,37.4,52.3,32.7,2016
VCU,A10,36,25,21.4,33.2,32.2,50.1,35.2,2016
Rhode Island,A10,35,25,19.4,32.8,39.2,51.2,33.3,2017
Rhode Island,A10,34,26,22.6,31,30.1,50.4,35.2,2018
Virginia,ACC,34,30,17.9,34.3,34.9,49.7,35.2,2015
Duke,ACC,37,28,17.3,31.7,39.3,53.5,37.9,2017
Florida St.,ACC,35,26,19.5,33.8,38.4,54.4,34.7,2017
Louisville,ACC,34,25,19.6,36.7,34,50.5,35.5,2017
Notre Dame,ACC,36,26,18.7,27.3,28.6,50.9,38.4,2017
Virginia,ACC,34,23,20.7,28.3,26,49.7,38.5,2017
North Carolina,ACC,37,26,16.3,37.4,28,51,35.9,2018
UMBC,AE,33,25,20.7,25.9,30.2,48.1,38.2,2018
Cincinnati,Amer,34,23,19.9,37.3,37.1,49.6,32.9,2015
Connecticut,Amer,36,25,18.2,28.6,29.6,49.9,36.5,2016
Cincinnati,Amer,36,30,20.2,35.5,32.5,52.1,34.5,2017
Cincinnati,Amer,36,31,21.6,38.5,36,50.2,35.3,2018
Houston,Amer,35,27,19.1,33.8,32.6,50.5,38.7,2018
UCF,Amer,33,24,18,29.5,45.3,52,36.5,2019
Iowa,B10,34,22,18.9,35.6,38,47.3,33.3,2015
Maryland,B10,35,28,17.2,28.9,44.5,48,37.6,2015
Ohio St.,B10,35,24,21.6,33.5,34.7,53.6,37,2015
Iowa,B10,33,22,18.8,31.9,33,48.7,37.4,2016
Michigan St.,B10,35,20,15.9,29.2,33.5,52.9,37.3,2017
Northwestern,B10,36,24,17.9,30.8,30.5,48.8,34.2,2017
Michigan St.,B10,35,30,14.6,37,35.9,55.2,40.1,2018
Ohio St.,B10,34,25,17.9,30.2,31.1,54.7,35.3,2018
Iowa,B10,35,23,18.4,29.8,42.3,51.4,36.4,2019
Maryland,B10,34,23,14.1,34.1,32.8,50.8,34.9,2019
Minnesota,B10,36,22,16.9,31.4,41.6,48.5,31.7,2019
Ohio St.,B10,35,20,18.2,27.6,33.7,49.7,34.1,2019
Kansas,B12,36,27,17.5,34.9,42.6,46.4,37.9,2015
Iowa St.,B12,35,24,19.5,25.7,27.6,51.8,40,2017
Baylor,B12,34,20,18.6,37.9,32.3,51.2,34.1,2019
Kansas,B12,36,26,18.2,30.1,32.5,52.6,35,2019
Oklahoma,B12,34,20,17.3,25.8,31.3,49.7,34.6,2019
Butler,BE,34,23,19.5,34.7,40.8,46.3,35.6,2015
Georgetown,BE,33,22,20.2,34.3,43.9,50.5,35.3,2015
Villanova,BE,36,33,21.6,32.5,41.8,53,38.9,2015
Butler,BE,33,22,18.6,32.2,39.3,49.9,39.3,2016
Providence,BE,35,24,20.6,30.4,37.3,48,32.1,2016
Xavier,BE,34,28,19.3,35.2,41.7,49.8,36.3,2016
Villanova,BE,36,32,20.1,30.2,35,59.2,36.9,2017
Butler,BE,35,21,19.5,27.6,26.1,54.3,35.7,2018
Seton Hall,BE,34,22,17.7,34.3,35.2,52,36.5,2018
Xavier,BE,35,29,15.7,30.2,41,55.9,37.2,2018
Villanova,BE,36,26,18,30.3,34.4,53.7,35.2,2019
Liberty,BSth,33,29,20.5,25.2,26.7,56.4,36.8,2019
Hawaii,BW,32,26,19.8,30.4,45.4,54.1,32.2,2016
UC Irvine,BW,36,31,16.7,33.7,28.7,50.1,35.9,2019
UAB,CUSA,35,19,19.7,34.2,35.7,46.6,33.2,2015
Middle Tennessee,CUSA,33,23,19.4,28.7,34.9,47.8,39.2,2016
Middle Tennessee,CUSA,35,31,19.8,30.1,30,53.6,36.9,2017
Marshall,CUSA,35,25,18.4,22.4,33.1,55.5,35.9,2018
Yale,Ivy,29,22,17.8,39.3,41.7,51.4,36,2016
Buffalo,MAC,35,27,18.1,31.9,29.9,54.3,37.1,2018
Buffalo,MAC,35,32,20.3,31.7,32.7,55.7,33.7,2019
Northern Iowa,MVC,35,31,19.2,27,39.8,53.3,39.8,2015
Northern Iowa,MVC,35,22,18.5,17.7,34.1,51.3,37.2,2016
Wichita St.,MVC,34,25,23.2,31.7,37.4,49.2,32.3,2016
Wichita St.,MVC,35,31,19.3,34.2,40.4,50.7,40.2,2017
San Diego St.,MWC,35,26,21.1,35.7,36.2,45.9,32,2015
Murray St.,OVC,31,28,19.4,32,33.5,56.2,34.9,2019
Oregon,P12,35,25,16.7,30.2,29.1,50.8,36.9,2015
Utah,P12,35,26,15.3,29.2,37.9,55.5,36.3,2016
USC,P12,36,26,17.9,31,36.8,51,36.2,2017
Washington,P12,36,27,24.2,29.1,34.7,51.9,35,2019
Georgia St.,SB,34,24,23.2,30,37.7,53.4,32.2,2015
Arkansas Little Rock,SB,33,28,21,26.7,31.5,48.9,38.2,2016
Wofford,SC,32,30,19.1,31.8,27.8,53.9,41.4,2019
Arkansas,SEC,36,27,22.3,35.7,37.3,48.8,34.9,2015
Kentucky,SEC,36,27,18,37.5,37.8,52.9,36.6,2016
Arkansas,SEC,36,26,18.5,31.9,38.1,50,36.5,2017
Alabama,SEC,36,20,18.7,29.4,41.9,53.5,32.6,2018
Auburn,SEC,34,26,20.7,32.1,39.8,48.7,35.7,2018
Florida,SEC,34,21,20,28.7,32.6,47.6,37,2018
Tennessee,SEC,35,26,20.4,33.4,35.5,47.3,38,2018
Florida,SEC,36,20,22.4,30.6,29.9,49.5,33.4,2019
Stephen F. Austin,Slnd,30,24,25.9,33.5,34.3,54.5,36.9,2016
Saint Mary's,WCC,34,29,15.3,33.1,27.8,56.9,39.4,2017
Wichita St.,MVC,35,34,18.2,35,46.9,52.3,35,2014
Kansas,B12,35,25,16.4,37.3,48.3,55.5,34,2014
Villanova,BE,34,29,20,32.6,44.5,53.8,35.6,2014
Creighton,BE,35,27,14.8,27.7,33.9,56.3,41.4,2014
Syracuse,ACC,34,28,21.9,38.1,38.2,47.7,33.1,2014
Saint Louis,A10,33,26,21,28.8,40.3,50.5,31.7,2014
North Carolina,ACC,34,24,19.3,38.1,42.9,49.7,33.6,2014
Oregon,P12,34,24,18.9,32.2,43.8,51,38.9,2014
Texas,B12,35,24,16.3,39.6,43.4,46.9,32.7,2014
Gonzaga,WCC,35,28,17.4,30.6,41.2,53.6,39,2014
Memphis,Amer,33,23,20.3,35.8,39.5,52.7,33,2014
Pittsburgh,ACC,36,26,19.2,37.2,44.3,50.1,35.1,2014
Harvard,Ivy,31,26,21.1,32.3,48.4,49.7,38.6,2014
North Dakota St.,Sum,30,23,17.1,30.6,41.6,55.4,34.7,2014
Stephen F. Austin,Slnd,33,30,23.6,38.2,39.9,52.3,34.9,2014
Mercer,ASun,33,24,19,32,37.3,51.6,38.8,2014
Gonzaga,WCC,34,31,20.8,37.8,40.8,55,36.5,2013
Saint Louis,A10,35,28,23.6,27.9,44,50,34,2013
VCU,A10,36,27,28.5,36.6,29.8,50.5,35.1,2013
Butler,A10,35,26,17.4,35.9,38.4,50.2,34.3,2013
Memphis,CUSA,36,31,22.1,35.6,37.2,51.1,37.2,2013
San Diego St.,MWC,32,21,18.2,31.8,35.3,48.3,32.7,2013
Illinois,B10,34,21,21.7,33.6,31,47.4,31.7,2013
Creighton,MVC,36,28,16.1,28.8,34.2,55.7,41.4,2013
Colorado St.,MWC,33,24,16.5,41.4,44.1,48.4,34.1,2013
North Carolina,ACC,35,24,21.5,34.6,28.2,46.3,37.2,2013
Temple,A10,34,24,20.1,30.8,35.6,48.8,32.8,2013
Iowa St.,B12,35,23,18.6,34.2,33,51.9,37.4,2013
