TEAM,CONF,G,W,TORD,ORB,FTR,2P_O,3P_O,YEAR
Clemson,ACC,34,20,19.8,27.8,33.5,51.5,32.8,2019
Georgia Tech,ACC,32,14,18.7,25.3,34.3,50.7,30.7,2019
Miami FL,ACC,32,14,19.8,25.9,30.8,51.4,33.3,2019
North Carolina St.,ACC,36,24,21.5,36,28.5,51.6,35.2,2019
Notre Dame,ACC,33,14,16.4,29,30.1,45.4,31.5,2019
Pittsburgh,ACC,33,14,21.3,32.1,42.3,46.9,33.1,2019
Wake Forest,ACC,31,11,16.1,33.9,37.6,44.1,30.8,2019
Binghamton,AE,30,5,20.4,26.2,39.8,43.9,30.6,2015
Hartford,AE,29,13,20.9,25.3,29.8,46,32.5,2015
Maine,AE,30,3,19,23.5,27.7,45.5,32.6,2015
New Hampshire,AE,30,17,17.1,27.2,36.1,45.9,37.4,2015
Stony Brook,AE,33,21,17.7,37.1,32.4,45.1,32.1,2015
UMass Lowell,AE,28,11,23.3,21.6,34.3,44.6,34.9,2015
UMBC,AE,30,4,19.7,23.5,37.2,45,32.6,2015
Vermont,AE,33,19,20.1,26.7,42.4,51.7,34.9,2015
Albany,AE,32,23,18.7,34.8,43.3,51.8,32.3,2016
Binghamton,AE,30,8,18.2,25.3,36.2,45,28.4,2016
Hartford,AE,32,9,18.5,18.9,33.2,45.6,35.4,2016
Maine,AE,30,8,21,27.9,32,48.3,33.9,2016
New Hampshire,AE,31,18,15.1,29.5,36.6,45,33.2,2016
UMass Lowell,AE,28,10,19.2,25.1,33.2,53.2,36.2,2016
UMBC,AE,32,7,19.4,24.9,42.2,50.4,33.1,2016
Vermont,AE,36,22,16.7,28.5,38.2,52.6,38.2,2016
Albany,AE,34,21,17.5,33,33.4,50.3,37.1,2017
Binghamton,AE,29,12,17.1,23.5,30.8,47.1,34.4,2017
Hartford,AE,32,9,18.4,24.7,32.6,45,33.9,2017
Maine,AE,31,7,16.6,26.9,29.6,44.8,31.2,2017
New Hampshire,AE,29,20,14.6,27.2,34.1,49.5,34.2,2017
Stony Brook,AE,32,18,19.7,29.5,32.8,45.7,32.7,2017
UMass Lowell,AE,30,11,17.8,27.1,31.5,53.1,38.4,2017
UMBC,AE,32,21,17.7,24.4,35,51.5,38.5,2017
Albany,AE,31,22,17,34.6,37,48.7,36.8,2018
Binghamton,AE,29,11,17,25.9,30,48.1,34.8,2018
Hartford,AE,32,19,18.1,24.9,31.2,53.6,34.4,2018
Maine,AE,30,6,18.1,25.5,29.2,47.1,29.6,2018
New Hampshire,AE,29,10,13.7,28.4,30.5,44.3,32.6,2018
Stony Brook,AE,31,13,20.8,30.5,32,47.5,32.2,2018
UMass Lowell,AE,29,12,20.3,26.3,39.2,52.4,34.4,2018
Vermont,AE,34,27,16.8,26,41.8,53.8,39.9,2018
Albany,AE,31,12,18.5,27.3,32.5,46.9,34.8,2019
